"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"202","ast125","testtextrandom",18,15,3,"failure",0
"203","ast125","testtextrandom",18,15,3,"success",0
"204","ast125","testtextrandom",18,15,3,"success",0
"205","ast125","testtextrandom",18,15,3,"success",0
"206","ast125","testtextrandom",18,15,3,"failure",0
"207","ast125","testtextrandom",18,15,3,"success",0
"208","ast125","testtextrandom",18,15,3,"success",0
"209","ast125","testtextrandom",18,15,3,"success",0
"210","ast125","testtextrandom",18,15,3,"success",0
"211","ast125","testtextrandom",18,15,3,"success",0
"212","ast125","testtextrandom",18,15,3,"success",0
"213","ast125","testtextrandom",18,15,3,"success",0
"214","ast125","testtextrandom",18,15,3,"success",0
"215","ast125","testtextrandom",18,15,3,"success",0
"216","ast125","testtextrandom",18,15,3,"success",0
"217","ast125","testtextrandom",18,15,3,"failure",0
"218","ast125","testtextrandom",18,15,3,"success",0
"219","ast125","testtextrandom",18,15,3,"success",1
