"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"134","ast114","testtextrandom",22,15,7,"failure",0
"135","ast114","testtextrandom",22,15,7,"success",0
"136","ast114","testtextrandom",22,15,7,"failure",0
"137","ast114","testtextrandom",22,15,7,"success",0
"138","ast114","testtextrandom",22,15,7,"success",0
"139","ast114","testtextrandom",22,15,7,"failure",0
"140","ast114","testtextrandom",22,15,7,"failure",0
"141","ast114","testtextrandom",22,15,7,"failure",0
"142","ast114","testtextrandom",22,15,7,"failure",1
"143","ast114","testtextrandom",22,15,7,"success",0
"144","ast114","testtextrandom",22,15,7,"failure",1
"145","ast114","testtextrandom",22,15,7,"success",0
"146","ast114","testtextrandom",22,15,7,"success",0
"147","ast114","testtextrandom",22,15,7,"success",0
"148","ast114","testtextrandom",22,15,7,"success",1
"149","ast114","testtextrandom",22,15,7,"success",0
"150","ast114","testtextrandom",22,15,7,"success",1
"151","ast114","testtextrandom",22,15,7,"success",1
"152","ast114","testtextrandom",22,15,7,"success",0
"153","ast114","testtextrandom",22,15,7,"success",0
"154","ast114","testtextrandom",22,15,7,"success",1
"155","ast114","testtextrandom",22,15,7,"success",0
