"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"1","ast103","testtextrandom",17,16,1,"success",0
"2","ast103","testtextrandom",17,16,1,"success",0
"3","ast103","testtextrandom",17,16,1,"success",0
"4","ast103","testtextrandom",17,16,1,"failure",0
"5","ast103","testtextrandom",17,16,1,"success",1
"6","ast103","testtextrandom",17,16,1,"success",0
"7","ast103","testtextrandom",17,16,1,"success",0
"8","ast103","testtextrandom",17,16,1,"success",0
"9","ast103","testtextrandom",17,16,1,"success",1
"10","ast103","testtextrandom",17,16,1,"success",0
"11","ast103","testtextrandom",17,16,1,"success",1
"12","ast103","testtextrandom",17,16,1,"success",0
"13","ast103","testtextrandom",17,16,1,"success",0
"14","ast103","testtextrandom",17,16,1,"success",0
"15","ast103","testtextrandom",17,16,1,"success",0
"16","ast103","testtextrandom",17,16,1,"success",0
"17","ast103","testtextrandom",17,16,1,"success",0
