"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"156","ast115","testtextrandom",15,15,0,"success",0
"157","ast115","testtextrandom",15,15,0,"success",0
"158","ast115","testtextrandom",15,15,0,"success",1
"159","ast115","testtextrandom",15,15,0,"success",1
"160","ast115","testtextrandom",15,15,0,"success",0
"161","ast115","testtextrandom",15,15,0,"success",0
"162","ast115","testtextrandom",15,15,0,"success",0
"163","ast115","testtextrandom",15,15,0,"success",0
"164","ast115","testtextrandom",15,15,0,"success",1
"165","ast115","testtextrandom",15,15,0,"success",0
"166","ast115","testtextrandom",15,15,0,"success",0
"167","ast115","testtextrandom",15,15,0,"success",0
"168","ast115","testtextrandom",15,15,0,"success",0
"169","ast115","testtextrandom",15,15,0,"success",0
"170","ast115","testtextrandom",15,15,0,"success",0
