"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"269","ast136","testtextrandom",15,15,0,"success",0
"270","ast136","testtextrandom",15,15,0,"success",0
"271","ast136","testtextrandom",15,15,0,"success",1
"272","ast136","testtextrandom",15,15,0,"success",0
"273","ast136","testtextrandom",15,15,0,"success",1
"274","ast136","testtextrandom",15,15,0,"success",0
"275","ast136","testtextrandom",15,15,0,"success",0
"276","ast136","testtextrandom",15,15,0,"success",0
"277","ast136","testtextrandom",15,15,0,"success",0
"278","ast136","testtextrandom",15,15,0,"success",0
"279","ast136","testtextrandom",15,15,0,"success",1
"280","ast136","testtextrandom",15,15,0,"success",0
"281","ast136","testtextrandom",15,15,0,"success",0
"282","ast136","testtextrandom",15,15,0,"success",0
"283","ast136","testtextrandom",15,15,0,"success",0
