"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"44","ast105","testtextrandom",15,12,3,"success",0
"45","ast105","testtextrandom",15,12,3,"success",1
"46","ast105","testtextrandom",15,12,3,"failure",0
"47","ast105","testtextrandom",15,12,3,"success",0
"48","ast105","testtextrandom",15,12,3,"failure",0
"49","ast105","testtextrandom",15,12,3,"failure",0
"50","ast105","testtextrandom",15,12,3,"success",0
"51","ast105","testtextrandom",15,12,3,"success",1
"52","ast105","testtextrandom",15,12,3,"success",1
"53","ast105","testtextrandom",15,12,3,"success",0
"54","ast105","testtextrandom",15,12,3,"success",0
"55","ast105","testtextrandom",15,12,3,"success",0
"56","ast105","testtextrandom",15,12,3,"success",0
"57","ast105","testtextrandom",15,12,3,"success",1
"58","ast105","testtextrandom",15,12,3,"success",0
