"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"67","ipt106","testpasstiles",21,15,6,"success",0
"68","ipt106","testpasstiles",21,15,6,"failure",0
"69","ipt106","testpasstiles",21,15,6,"success",1
"70","ipt106","testpasstiles",21,15,6,"failure",0
"71","ipt106","testpasstiles",21,15,6,"failure",0
"72","ipt106","testpasstiles",21,15,6,"failure",0
"73","ipt106","testpasstiles",21,15,6,"failure",0
"74","ipt106","testpasstiles",21,15,6,"success",0
"75","ipt106","testpasstiles",21,15,6,"success",0
"76","ipt106","testpasstiles",21,15,6,"success",1
"77","ipt106","testpasstiles",21,15,6,"success",0
"78","ipt106","testpasstiles",21,15,6,"success",0
"79","ipt106","testpasstiles",21,15,6,"success",0
"80","ipt106","testpasstiles",21,15,6,"success",0
"81","ipt106","testpasstiles",21,15,6,"success",0
"82","ipt106","testpasstiles",21,15,6,"success",3
"83","ipt106","testpasstiles",21,15,6,"failure",0
"84","ipt106","testpasstiles",21,15,6,"success",1
"85","ipt106","testpasstiles",21,15,6,"success",0
"86","ipt106","testpasstiles",21,15,6,"success",0
"87","ipt106","testpasstiles",21,15,6,"success",0
