"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"33","ipt104","testpasstiles",12,12,0,"success",1
"34","ipt104","testpasstiles",12,12,0,"success",1
"35","ipt104","testpasstiles",12,12,0,"success",0
"36","ipt104","testpasstiles",12,12,0,"success",0
"37","ipt104","testpasstiles",12,12,0,"success",0
"38","ipt104","testpasstiles",12,12,0,"success",0
"39","ipt104","testpasstiles",12,12,0,"success",1
"40","ipt104","testpasstiles",12,12,0,"success",0
"41","ipt104","testpasstiles",12,12,0,"success",0
"42","ipt104","testpasstiles",12,12,0,"success",0
"43","ipt104","testpasstiles",12,12,0,"success",0
"44","ipt104","testpasstiles",12,12,0,"success",1
