"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"220","ipt136","testpasstiles",18,15,3,"success",0
"221","ipt136","testpasstiles",18,15,3,"success",0
"222","ipt136","testpasstiles",18,15,3,"success",1
"223","ipt136","testpasstiles",18,15,3,"success",1
"224","ipt136","testpasstiles",18,15,3,"failure",0
"225","ipt136","testpasstiles",18,15,3,"failure",1
"226","ipt136","testpasstiles",18,15,3,"failure",0
"227","ipt136","testpasstiles",18,15,3,"success",0
"228","ipt136","testpasstiles",18,15,3,"success",0
"229","ipt136","testpasstiles",18,15,3,"success",0
"230","ipt136","testpasstiles",18,15,3,"success",0
"231","ipt136","testpasstiles",18,15,3,"success",1
"232","ipt136","testpasstiles",18,15,3,"success",0
"233","ipt136","testpasstiles",18,15,3,"success",0
"234","ipt136","testpasstiles",18,15,3,"success",1
"235","ipt136","testpasstiles",18,15,3,"success",1
"236","ipt136","testpasstiles",18,15,3,"success",0
"237","ipt136","testpasstiles",18,15,3,"success",0
