"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"103","ipt110","testpasstiles",19,15,4,"failure",0
"104","ipt110","testpasstiles",19,15,4,"failure",1
"105","ipt110","testpasstiles",19,15,4,"failure",0
"106","ipt110","testpasstiles",19,15,4,"success",0
"107","ipt110","testpasstiles",19,15,4,"success",0
"108","ipt110","testpasstiles",19,15,4,"success",0
"109","ipt110","testpasstiles",19,15,4,"failure",2
"110","ipt110","testpasstiles",19,15,4,"success",0
"111","ipt110","testpasstiles",19,15,4,"success",0
"112","ipt110","testpasstiles",19,15,4,"success",0
"113","ipt110","testpasstiles",19,15,4,"success",0
"114","ipt110","testpasstiles",19,15,4,"success",0
"115","ipt110","testpasstiles",19,15,4,"success",0
"116","ipt110","testpasstiles",19,15,4,"success",0
"117","ipt110","testpasstiles",19,15,4,"success",1
"118","ipt110","testpasstiles",19,15,4,"success",0
"119","ipt110","testpasstiles",19,15,4,"success",0
"120","ipt110","testpasstiles",19,15,4,"success",0
"121","ipt110","testpasstiles",19,15,4,"success",0
