"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"238","ipt137","testpasstiles",20,16,4,"success",0
"239","ipt137","testpasstiles",20,16,4,"success",0
"240","ipt137","testpasstiles",20,16,4,"failure",1
"241","ipt137","testpasstiles",20,16,4,"failure",0
"242","ipt137","testpasstiles",20,16,4,"success",1
"243","ipt137","testpasstiles",20,16,4,"failure",0
"244","ipt137","testpasstiles",20,16,4,"failure",1
"245","ipt137","testpasstiles",20,16,4,"success",0
"246","ipt137","testpasstiles",20,16,4,"success",1
"247","ipt137","testpasstiles",20,16,4,"success",0
"248","ipt137","testpasstiles",20,16,4,"success",1
"249","ipt137","testpasstiles",20,16,4,"success",0
"250","ipt137","testpasstiles",20,16,4,"success",0
"251","ipt137","testpasstiles",20,16,4,"success",1
"252","ipt137","testpasstiles",20,16,4,"success",0
"253","ipt137","testpasstiles",20,16,4,"success",1
"254","ipt137","testpasstiles",20,16,4,"success",1
"255","ipt137","testpasstiles",20,16,4,"success",0
"256","ipt137","testpasstiles",20,16,4,"success",0
"257","ipt137","testpasstiles",20,16,4,"success",0
