"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"45","ipt105","testpasstiles",22,15,7,"success",0
"46","ipt105","testpasstiles",22,15,7,"success",0
"47","ipt105","testpasstiles",22,15,7,"success",1
"48","ipt105","testpasstiles",22,15,7,"failure",0
"49","ipt105","testpasstiles",22,15,7,"failure",1
"50","ipt105","testpasstiles",22,15,7,"success",1
"51","ipt105","testpasstiles",22,15,7,"failure",0
"52","ipt105","testpasstiles",22,15,7,"failure",0
"53","ipt105","testpasstiles",22,15,7,"success",0
"54","ipt105","testpasstiles",22,15,7,"success",1
"55","ipt105","testpasstiles",22,15,7,"success",0
"56","ipt105","testpasstiles",22,15,7,"success",1
"57","ipt105","testpasstiles",22,15,7,"success",0
"58","ipt105","testpasstiles",22,15,7,"failure",0
"59","ipt105","testpasstiles",22,15,7,"success",0
"60","ipt105","testpasstiles",22,15,7,"success",0
"61","ipt105","testpasstiles",22,15,7,"success",0
"62","ipt105","testpasstiles",22,15,7,"failure",0
"63","ipt105","testpasstiles",22,15,7,"success",0
"64","ipt105","testpasstiles",22,15,7,"failure",0
"65","ipt105","testpasstiles",22,15,7,"success",1
"66","ipt105","testpasstiles",22,15,7,"success",0
