"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"88","ipt109","testpasstiles",15,15,0,"success",0
"89","ipt109","testpasstiles",15,15,0,"success",0
"90","ipt109","testpasstiles",15,15,0,"success",0
"91","ipt109","testpasstiles",15,15,0,"success",0
"92","ipt109","testpasstiles",15,15,0,"success",0
"93","ipt109","testpasstiles",15,15,0,"success",1
"94","ipt109","testpasstiles",15,15,0,"success",0
"95","ipt109","testpasstiles",15,15,0,"success",0
"96","ipt109","testpasstiles",15,15,0,"success",1
"97","ipt109","testpasstiles",15,15,0,"success",1
"98","ipt109","testpasstiles",15,15,0,"success",0
"99","ipt109","testpasstiles",15,15,0,"success",1
"100","ipt109","testpasstiles",15,15,0,"success",0
"101","ipt109","testpasstiles",15,15,0,"success",0
"102","ipt109","testpasstiles",15,15,0,"success",0
