"","uid","Passwordscheme","Totallogin","Totalsuccess","Totalfail","SorF","time"
"258","ipt143","testpasstiles",18,15,3,"success",0
"259","ipt143","testpasstiles",18,15,3,"success",0
"260","ipt143","testpasstiles",18,15,3,"success",1
"261","ipt143","testpasstiles",18,15,3,"failure",1
"262","ipt143","testpasstiles",18,15,3,"failure",0
"263","ipt143","testpasstiles",18,15,3,"success",0
"264","ipt143","testpasstiles",18,15,3,"success",0
"265","ipt143","testpasstiles",18,15,3,"success",0
"266","ipt143","testpasstiles",18,15,3,"success",1
"267","ipt143","testpasstiles",18,15,3,"success",3
"268","ipt143","testpasstiles",18,15,3,"success",0
"269","ipt143","testpasstiles",18,15,3,"success",0
"270","ipt143","testpasstiles",18,15,3,"success",0
"271","ipt143","testpasstiles",18,15,3,"success",0
"272","ipt143","testpasstiles",18,15,3,"success",0
"273","ipt143","testpasstiles",18,15,3,"success",0
"274","ipt143","testpasstiles",18,15,3,"failure",0
"275","ipt143","testpasstiles",18,15,3,"success",0
